roll_no,semester,subject_code,subject_name,grade,points,credits,credit_points
12024001,1,BSM101,Mathematics-I,A,8.0,4.0,32.0
12024001,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024001,1,PHY101,Physics,O,10.0,4.0,40.0
12024001,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024001,1,ENG101,English,O,10.0,4.0,40.0
12024001,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024001,2,CS201,Data Structures,O,10.0,4.0,40.0
12024001,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024001,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024001,2,HS201,Economics,C,6.0,4.0,24.0
12024001,3,CS301,OOP with Java,A,8.0,4.0,32.0
12024001,3,CS302,DBMS,E,9.0,4.0,36.0
12024001,3,CS303,Computer Networks,E,9.0,4.0,36.0
12024001,3,BSM302,Mathematics-IV,O,10.0,4.0,40.0
12024001,3,CS304,OS Basics,A,8.0,4.0,32.0
12024001,4,CS401,Algorithms,B,7.0,4.0,28.0
12024001,4,CS402,Software Engineering,A,8.0,4.0,32.0
12024001,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024001,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024001,4,CS405,Web Development,O,10.0,4.0,40.0
12024002,1,BSM101,Mathematics-I,E,9.0,4.0,36.0
12024002,1,CS101,Programming Basics,A,8.0,4.0,32.0
12024002,1,PHY101,Physics,A,8.0,4.0,32.0
12024002,1,EE101,Basic Electrical,C,6.0,4.0,24.0
12024002,1,ENG101,English,C,6.0,4.0,24.0
12024002,2,BSM301,Mathematics-III,B,7.0,4.0,28.0
12024002,2,CS201,Data Structures,E,9.0,4.0,36.0
12024002,2,CS202,Digital Logic,A,8.0,4.0,32.0
12024002,2,ME201,Engineering Mechanics,E,9.0,4.0,36.0
12024002,2,HS201,Economics,A,8.0,4.0,32.0
12024002,3,CS301,OOP with Java,A,8.0,4.0,32.0
12024002,3,CS302,DBMS,B,7.0,4.0,28.0
12024002,3,CS303,Computer Networks,B,7.0,4.0,28.0
12024002,3,BSM302,Mathematics-IV,E,9.0,4.0,36.0
12024002,3,CS304,OS Basics,E,9.0,4.0,36.0
12024002,4,CS401,Algorithms,O,10.0,4.0,40.0
12024002,4,CS402,Software Engineering,A,8.0,4.0,32.0
12024002,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024002,4,CS404,Microprocessors,C,6.0,4.0,24.0
12024002,4,CS405,Web Development,C,6.0,4.0,24.0
12024003,1,BSM101,Mathematics-I,O,10.0,4.0,40.0
12024003,1,CS101,Programming Basics,B,7.0,4.0,28.0
12024003,1,PHY101,Physics,E,9.0,4.0,36.0
12024003,1,EE101,Basic Electrical,O,10.0,4.0,40.0
12024003,1,ENG101,English,A,8.0,4.0,32.0
12024003,2,BSM301,Mathematics-III,A,8.0,4.0,32.0
12024003,2,CS201,Data Structures,O,10.0,4.0,40.0
12024003,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024003,2,ME201,Engineering Mechanics,B,7.0,4.0,28.0
12024003,2,HS201,Economics,E,9.0,4.0,36.0
12024003,3,CS301,OOP with Java,O,10.0,4.0,40.0
12024003,3,CS302,DBMS,C,6.0,4.0,24.0
12024003,3,CS303,Computer Networks,C,6.0,4.0,24.0
12024003,3,BSM302,Mathematics-IV,O,10.0,4.0,40.0
12024003,3,CS304,OS Basics,B,7.0,4.0,28.0
12024003,4,CS401,Algorithms,A,8.0,4.0,32.0
12024003,4,CS402,Software Engineering,C,6.0,4.0,24.0
12024003,4,CS403,Theory of Computation,C,6.0,4.0,24.0
12024003,4,CS404,Microprocessors,O,10.0,4.0,40.0
12024003,4,CS405,Web Development,O,10.0,4.0,40.0
12024004,1,BSM101,Mathematics-I,O,10.0,4.0,40.0
12024004,1,CS101,Programming Basics,C,6.0,4.0,24.0
12024004,1,PHY101,Physics,B,7.0,4.0,28.0
12024004,1,EE101,Basic Electrical,B,7.0,4.0,28.0
12024004,1,ENG101,English,B,7.0,4.0,28.0
12024004,2,BSM301,Mathematics-III,E,9.0,4.0,36.0
12024004,2,CS201,Data Structures,A,8.0,4.0,32.0
12024004,2,CS202,Digital Logic,B,7.0,4.0,28.0
12024004,2,ME201,Engineering Mechanics,A,8.0,4.0,32.0
12024004,2,HS201,Economics,E,9.0,4.0,36.0
12024004,3,CS301,OOP with Java,A,8.0,4.0,32.0
